well_id,sample_date,pH,TDS_mg_L,SiO2_mg_L,Na_mg_L,K_mg_L,Ca_mg_L,Cl_mg_L,SO4_mg_L,HCO3_mg_L,reservoir_type
GEO-001,2024-06-07,6.5,8729,256.8,4022.9,108.1,138.1,881.3,1276.5,1074.4,Liquid-dominated
GEO-002,2024-06-09,6.2,8349,262.7,4367.7,359.9,642.4,2748.6,1631.5,166.2,Two-phase
GEO-003,2024-04-06,8.9,7059,243.1,2679.4,368.5,69.9,529.8,501.7,281.3,Two-phase
GEO-004,2024-10-19,9.4,5385,104.6,3969.5,332.8,401.1,4465.1,1441.2,381.3,Two-phase
GEO-005,2024-09-27,8.3,3393,254.1,453.8,25.0,209.9,3727.9,1737.9,1104.4,Two-phase
GEO-006,2024-04-05,7.2,5880,346.3,296.5,434.8,465.0,3537.0,1453.3,755.7,Two-phase
GEO-007,2024-02-04,7.5,4514,227.7,4570.6,113.2,500.3,5070.9,1468.9,240.8,Two-phase
GEO-008,2024-07-10,6.8,14585,104.3,4286.5,251.2,201.5,6972.5,896.2,796.5,Liquid-dominated
GEO-009,2024-02-07,6.6,6171,340.8,1364.9,331.8,263.5,6199.1,270.4,1456.2,Liquid-dominated
GEO-010,2024-11-10,6.3,2961,205.9,1751.3,416.2,347.6,2027.3,1238.1,1074.8,Liquid-dominated
GEO-011,2024-04-28,6.1,11178,249.1,2425.7,423.6,645.5,4703.6,1737.9,348.5,Liquid-dominated
GEO-012,2024-02-14,6.2,8202,331.0,292.8,69.8,364.5,7474.3,639.2,785.5,Liquid-dominated
GEO-013,2024-10-20,9.5,14494,51.5,4763.9,323.2,695.0,3665.2,1036.0,758.8,Vapour-dominated
GEO-014,2024-04-23,6.1,4965,261.4,1089.1,340.0,776.1,796.5,1348.5,693.4,Two-phase
GEO-015,2024-06-15,8.4,12653,333.4,3447.9,253.6,496.2,6957.8,1145.5,94.1,Two-phase
GEO-016,2024-04-01,8.1,14143,298.1,3368.2,292.8,282.1,1316.3,1213.9,511.3,Two-phase
GEO-017,2024-09-16,8.6,1812,136.6,634.6,328.8,613.3,7409.1,882.0,1357.0,Two-phase
GEO-018,2024-07-19,9.0,5947,139.1,3280.5,170.9,506.0,4898.2,1131.2,601.6,Vapour-dominated
GEO-019,2024-01-17,7.9,6944,54.4,2976.6,92.5,515.8,6086.8,1005.9,836.4,Two-phase
GEO-020,2024-02-06,9.2,12300,82.7,830.1,268.0,200.6,3839.7,794.8,846.7,Two-phase
