well_id,latitude,longitude,depth_m,temperature_c,lithology,formation
GEO-001,24.59926,-110.32104,126.7,,Granite,El Cien
GEO-001,24.59926,-110.32104,474.7,70.3,Andesite,Loreto Basin
GEO-001,24.59926,-110.32104,496.5,67.5,Sedimentary,Tepetate
GEO-001,24.59926,-110.32104,559.5,76.2,Granite,San Ignacio
GEO-001,24.59926,-110.32104,1008.1,116.1,Rhyolite,El Cien
GEO-001,24.59926,-110.32104,1018.1,116.3,Andesite,San Ignacio
GEO-001,24.59926,-110.32104,1091.6,120.0,Sedimentary,El Cien
GEO-001,24.59926,-110.32104,1151.9,130.1,Basalt,Comondu
GEO-001,24.59926,-110.32104,1440.9,154.2,Granite,San Ignacio
GEO-001,24.59926,-110.32104,1544.5,164.6,Sedimentary,San Ignacio
GEO-001,24.59926,-110.32104,1900.6,199.0,Rhyolite,Comondu
GEO-001,24.59926,-110.32104,2091.3,216.5,Andesite,Comondu
GEO-001,24.59926,-110.32104,2113.6,216.0,Andesite,El Cien
GEO-001,24.59926,-110.32104,2320.3,237.0,Andesite,Comondu
GEO-002,25.52114,-111.07681,319.6,46.9,Basalt,Comondu
GEO-002,25.52114,-111.07681,507.1,72.9,Andesite,Comondu
GEO-002,25.52114,-111.07681,608.4,82.2,Sedimentary,Comondu
GEO-002,25.52114,-111.07681,829.1,106.0,Andesite,Loreto Basin
GEO-002,25.52114,-111.07681,1096.4,136.0,Rhyolite,Tepetate
GEO-002,25.52114,-111.07681,1371.4,164.1,Rhyolite,San Ignacio
GEO-002,25.52114,-111.07681,2019.0,234.0,Andesite,San Ignacio
GEO-002,25.52114,-111.07681,2028.2,230.6,Sedimentary,San Ignacio
GEO-002,25.52114,-111.07681,2054.1,235.5,Granite,El Cien
GEO-002,25.52114,-111.07681,2185.1,254.2,Granite,San Ignacio
GEO-002,25.52114,-111.07681,2236.8,256.8,Andesite,Comondu
GEO-002,25.52114,-111.07681,2245.4,254.4,Basalt,Loreto Basin
GEO-003,25.17119,-110.83257,478.6,57.3,Sedimentary,Loreto Basin
GEO-003,25.17119,-110.83257,562.2,61.8,Rhyolite,El Cien
GEO-003,25.17119,-110.83257,609.9,63.8,Metamorphic,Loreto Basin
GEO-003,25.17119,-110.83257,1376.5,120.1,Basalt,San Ignacio
GEO-003,25.17119,-110.83257,1705.4,147.8,Metamorphic,Comondu
GEO-003,25.17119,-110.83257,1754.7,,Andesite,Comondu
GEO-003,25.17119,-110.83257,1851.3,156.4,Rhyolite,El Cien
GEO-003,25.17119,-110.83257,2456.3,203.9,Andesite,San Ignacio
GEO-004,24.95785,-110.71382,528.3,36.7,Granite,San Ignacio
GEO-004,24.95785,-110.71382,647.8,41.7,Rhyolite,El Cien
GEO-004,24.95785,-110.71382,699.7,40.7,Basalt,Comondu
GEO-004,24.95785,-110.71382,737.9,44.2,Sedimentary,Tepetate
GEO-004,24.95785,-110.71382,1013.1,52.3,Andesite,San Ignacio
GEO-004,24.95785,-110.71382,1256.7,56.2,Andesite,El Cien
GEO-004,24.95785,-110.71382,1281.5,55.7,Sedimentary,San Ignacio
GEO-004,24.95785,-110.71382,1463.4,61.5,Granite,El Cien
GEO-004,24.95785,-110.71382,1596.3,,Andesite,San Ignacio
GEO-004,24.95785,-110.71382,1820.0,72.4,Andesite,Comondu
GEO-004,24.95785,-110.71382,1997.3,,Sedimentary,San Ignacio
GEO-004,24.95785,-110.71382,2235.5,87.1,Andesite,Tepetate
GEO-004,24.95785,-110.71382,2433.9,89.4,Andesite,Comondu
GEO-005,24.24963,-110.57029,150.6,23.4,Granite,San Ignacio
GEO-005,24.24963,-110.57029,375.2,38.1,Granite,San Ignacio
GEO-005,24.24963,-110.57029,389.0,33.7,Granite,Comondu
GEO-005,24.24963,-110.57029,526.2,37.8,Sedimentary,San Ignacio
GEO-005,24.24963,-110.57029,664.6,46.1,Andesite,Comondu
GEO-005,24.24963,-110.57029,1027.1,62.6,Sedimentary,Comondu
GEO-005,24.24963,-110.57029,1057.8,,Metamorphic,San Ignacio
GEO-005,24.24963,-110.57029,1112.1,70.1,Rhyolite,El Cien
GEO-005,24.24963,-110.57029,1763.8,94.0,Metamorphic,Tepetate
GEO-005,24.24963,-110.57029,1800.8,98.4,Sedimentary,El Cien
GEO-005,24.24963,-110.57029,1872.9,97.3,Granite,Tepetate
GEO-005,24.24963,-110.57029,2425.4,121.8,Andesite,Tepetate
GEO-006,24.24959,-110.04372,94.6,31.0,Rhyolite,Comondu
GEO-006,24.24959,-110.04372,107.0,34.8,Andesite,Tepetate
GEO-006,24.24959,-110.04372,219.9,44.0,Sedimentary,San Ignacio
GEO-006,24.24959,-110.04372,224.4,,Sedimentary,Comondu
GEO-006,24.24959,-110.04372,281.4,46.9,Metamorphic,Loreto Basin
GEO-006,24.24959,-110.04372,296.9,50.8,Andesite,San Ignacio
GEO-006,24.24959,-110.04372,339.5,54.1,Basalt,El Cien
GEO-006,24.24959,-110.04372,529.7,69.0,Rhyolite,Tepetate
GEO-006,24.24959,-110.04372,740.5,87.1,Andesite,Comondu
GEO-006,24.24959,-110.04372,831.5,97.2,Basalt,Tepetate
GEO-006,24.24959,-110.04372,1723.4,169.0,Granite,Comondu
GEO-006,24.24959,-110.04372,1757.0,174.1,Andesite,Comondu
GEO-006,24.24959,-110.04372,2045.4,197.1,Rhyolite,Comondu
GEO-006,24.24959,-110.04372,2119.9,203.4,Rhyolite,Comondu
GEO-006,24.24959,-110.04372,2268.1,218.6,Metamorphic,San Ignacio
GEO-007,24.09293,-110.98052,629.9,76.2,Rhyolite,Comondu
GEO-007,24.09293,-110.98052,908.0,99.5,Andesite,Comondu
GEO-007,24.09293,-110.98052,976.1,108.4,Basalt,Tepetate
GEO-007,24.09293,-110.98052,1230.1,129.9,Andesite,San Ignacio
GEO-007,24.09293,-110.98052,1500.1,,Metamorphic,Loreto Basin
GEO-007,24.09293,-110.98052,1785.0,184.9,Rhyolite,Comondu
GEO-007,24.09293,-110.98052,2206.9,224.0,Granite,Comondu
